unigram	frequency
will	1503
son	1289
one	990
said	888
man	770
now	768
ulysses	719
men	703
jove	659
went	628
us	610
achaeans	609
trojans	583
shall	571
go	561
may	559
come	545
house	543
let	537
ships	521
hector	486
came	481
back	472
great	472
even	469
father	451
achilles	448
take	440
among	431
spear	430
made	425
gods	422
two	409
took	403
hand	378
see	377
fight	375
tell	351
though	347
sea	344
people	343
round	341
many	338
set	332
heaven	332
till	330
therefore	330
hands	328
still	327
like	325
much	321
way	320
home	318
minerva	312
horses	310
good	304
answered	300
ship	299
give	295
city	291
another	286
make	283
first	275
left	273
long	272
away	271
also	270
telemachus	270
king	267
saw	266
yet	263
old	263
ground	258
might	258
battle	255
armour	254
spoke	254
fell	253
day	242
suitors	242
heart	238
agamemnon	237
head	236
body	235
well	234
put	233
saying	225
got	225
know	221
time	220
never	218
say	217
god	217
menelaus	216
killed	216
brought	210
mother	210
gave	207
others	206
side	205
far	200
sons	200
ever	199
get	198
must	196
priam	194
without	192
towards	192
full	189
ajax	184
patroclus	184
chariot	184
death	182
dead	181
heard	181
every	181
hold	180
struck	177
sent	177
fighting	175
whether	174
apollo	171
soon	168
daughter	167
laid	167
stood	165
end	165
shield	164
brave	164
fire	164
noble	163
lay	163
wine	161
close	161
water	160
near	159
going	159
eyes	159
right	158
place	157
argives	157
land	157
wife	156
bronze	155
nothing	155
bring	153
blood	153
find	152
troy	152
atreus	151
fair	150
women	150
told	149
night	149
keep	148
done	147
however	146
peleus	145
wall	144
high	143
drink	141
earth	140
better	139
best	139
return	139
stay	138
speak	138
strong	138
neither	136
held	135
drew	135
nestor	133
stand	132
hear	132
mighty	131
mars	130
bow	129
mind	129
country	129
words	129
juno	128
gold	126
feet	126
either	126
whole	125
wind	125
fear	125
reached	124
river	124
young	123
behind	122
neptune	122
danaans	121
whereon	120
think	120
sleep	120
given	119
dear	119
goddess	118
leave	118
face	118
help	118
began	117
host	115
gone	115
fall	115
kept	115
life	114
angry	114
sat	112
friends	112
sprang	111
look	111
woman	110
hard	110
indeed	109
diomed	109
front	109
plain	109
things	108
cry	108
kill	108
within	108
sun	107
taken	107
just	107
town	106
found	106
penelope	106
coming	106
sheep	105
olympus	103
send	103
strength	102
bed	102
sword	102
matter	101
whose	101
ithaca	100
cried	99
ilius	99
turn	98
child	98
tydeus	97
cut	97
called	96
led	96
turned	95
longer	95
fleet	95
husband	95
arrow	94
room	94
enough	94
alone	93
stranger	93
hit	93
forward	93
meanwhile	92
presently	92
live	92
saturn	92
bore	92
together	91
lying	91
war	91
aeneas	91
moreover	90
honour	90
thick	90
seat	90
rest	89
foot	88
shoulders	87
morning	87
threw	87
looking	86
helmet	86
idomeneus	86
gates	86
eat	86
lie	86
comrades	85
want	85
alive	85
part	84
spears	84
ill	83
fast	82
little	82
raised	82
save	81
servants	81
silver	81
last	80
sorrow	79
drive	79
always	79
hades	78
golden	78
else	78
inside	78
point	77
bear	77
flew	77
three	77
caught	77
rose	77
name	76
eumaeus	76
rich	76
light	76
bade	76
drove	76
knew	75
comrade	75
work	74
darkness	74
along	74
days	74
anger	74
fallen	74
making	73
thought	73
sir	73
none	73
twelve	73
nevertheless	73
bid	72
moment	71
middle	71
lord	71
dark	71
trojan	71
poor	71
stayed	70
brother	70
dust	70
ask	70
children	70
already	69
fly	69
care	69
comes	69
looked	68
immortal	68
island	68
weeping	68
draw	67
voice	67
counsel	67
true	66
show	66
knees	66
top	66
shore	66
glad	66
helen	65
tears	65
break	65
arms	65
antilochus	65
filled	64
cattle	64
foremost	64
wounded	64
friend	64
reach	64
kind	64
seen	64
slain	64
gathered	64
bearing	64
world	63
prayed	63
surely	63
sit	63
mountain	62
ranks	62
stone	62
alcinous	62
straight	62
fury	61
servant	61
goodly	61
covered	61
meriones	61
board	61
waters	60
taking	60
vulcan	60
valiant	60
replied	60
glory	60
bound	59
ready	59
antinous	59
deep	59
swineherd	59
lion	58
carried	58
fine	58
sure	58
master	58
dogs	57
everything	57
evil	57
lost	57
single	57
call	57
word	56
neck	56
fought	56
hither	56
court	56
phaeacians	55
laertes	55
loud	55
escape	55
wound	55
fierce	55
mortal	55
hero	54
immortals	54
sail	54
tent	54
force	54
meat	54
present	54
horse	53
shoulder	53
heroes	53
killing	53
pray	53
field	53
beat	53
trouble	52
pylos	52
hide	52
followed	52
thereon	52
born	52
forth	52
sacrifice	52
destruction	52
something	52
talk	52
offered	52
fellow	52
open	51
hope	51
sitting	51
presents	51
maids	51
used	51
argos	51
peace	51
cup	51
cloud	50
getting	50
flying	50
shouted	50
giving	50
shirt	50
chest	50
quite	50
thetis	49
dinner	49
thing	49
driven	49
wild	49
alexandrus	49
bad	49
sarpedon	49
mercury	49
assembly	49
outside	49
die	49
waves	49
beside	49
try	48
listen	48
victory	48
speed	48
lest	48
nine	48
dawn	48
excellent	48
large	47
living	47
tents	47
cloak	47
ida	47
bones	47
cave	47
chariots	47
telamon	47
bread	47
seeing	47
grant	47
afraid	47
course	47
grief	47
