noun	frequency
whale	731
ship	505
man	481
sea	425
head	333
time	330
boat	330
way	267
whales	248
men	242
side	198
hand	197
deck	190
water	188
thing	187
day	174
world	172
life	165
fish	157
eyes	156
night	147
line	147
sort	146
boats	146
part	145
captain	142
air	141
crew	137
things	131
one	128
feet	127
hands	124
something	123
times	113
nothing	113
body	110
sir	109
place	107
moment	105
sight	103
voyage	99
end	99
sun	97
years	95
oil	91
face	91
heart	90
ships	88
leg	86
iron	85
heads	85
eye	85
death	85
arm	85
soul	83
cabin	83
days	81
matter	80
mast	79
seas	78
length	78
tail	77
harpooneer	77
mate	75
land	75
bed	75
fire	74
word	73
morning	73
instant	72
harpoon	69
case	69
board	69
wind	68
waters	68
whalemen	67
business	67
ocean	66
name	66
reason	64
point	63
sailor	62
sail	62
blood	62
mouth	59
light	59
order	58
rope	57
room	57
jaw	57
chapter	56
vessel	55
harpooneers	55
fishery	54
craft	54
bone	53
sailors	51
mind	51
bottom	50
back	50
monster	49
waves	48
story	48
ground	48
devil	48
bones	48
voice	47
teeth	47
spout	47
sharks	47
hold	47
bows	47
work	46
quarter	46
fact	46
watch	45
savage	45
rest	45
people	45
half	45
fellow	45
earth	45
chase	45
whaleman	44
look	44
lance	44
hole	44
door	44
chance	44
anything	43
whaling	42
view	42
surface	42
house	42
hours	42
creature	42
boy	42
seamen	41
pipe	40
parts	40
mates	40
hour	40
hat	40
book	40
purpose	39
others	39
means	39
distance	39
course	39
coffin	39
coast	39
aye	39
top	38
power	38
oars	38
nature	38
mass	38
manner	38
ivory	38
bow	38
wake	37
stern	37
skin	37
sails	37
lines	37
forecastle	37
carpenter	37
aspect	37
arms	37
wood	36
table	36
stranger	36
sky	36
object	36
legs	36
gentlemen	36
forehead	36
flukes	36
cry	36
brain	36
weather	35
bulwarks	35
brow	35
boys	35
thoughts	34
none	34
gold	34
form	34
foot	34
creatures	34
steel	33
skeleton	33
sign	33
queer	33
passage	33
idea	33
company	33
intervals	32
home	32
darkness	32
bulk	32
truth	31
substance	31
storm	31
species	31
sound	31
planks	31
nose	31
miles	31
instances	31
thought	30
snow	30
round	30
mark	30
living	30
jet	30
hull	30
harpoons	30
sperm	29
mariners	29
knife	29
jaws	29
ice	29
hammock	29
battle	29
yards	28
works	28
words	28
supper	28
sides	28
question	28
person	28
hunters	28
hearts	28
hammer	28
fishermen	28
coat	28
blubber	28
act	28
shipmates	27
scene	27
island	27
horse	27
art	27
-	27
year	26
woe	26
thunder	26
pilot	26
masts	26
lamp	26
hair	26
gods	26
glance	26
gale	26
friend	26
degree	26
circumstances	26
circumstance	26
chest	26
calm	26
wife	25
whiteness	25
war	25
vessels	25
smoke	25
skull	25
port	25
pole	25
play	25
number	25
midnight	25
lightning	25
king	25
interval	25
helm	25
ears	25
duty	25
country	25
command	25
cases	25
bit	25
self	24
circle	24
wall	23
try	23
sword	23
strength	23
state	23
spot	23
shore	23
pursuit	23
perils	23
middle	23
level	23
landlord	23
flesh	23
fin	23
wonder	22
windlass	22
tree	22
thy	22
thee	22
spring	22
souls	22
orders	22
kind	22
keel	22
jacket	22
hump	22
front	22
centre	22
account	22
will	21
whole	21
sleep	21
rigging	21
minutes	21
magnitude	21
lances	21
history	21
fear	21
decks	21
astern	21
age	21
winds	20
while	20
use	20
town	20
terrors	20
terror	20
shark	20
scuttle	20
places	20
owners	20
oar	20
mine	20
log	20
inches	20
honor	20
game	20
floor	20
everything	20
dignity	20
casks	20
captains	20
breeze	20
bag	20
yard	19
vicinity	19
stuff	19
stone	19
spade	19
sorts	19
sake	19
picture	19
ones	19
officers	19
master	19
love	19
law	19
inch	19
glass	19
foam	19
figure	19
cook	19
base	19
anchor	19
whalers	18
ways	18
turns	18
subject	18
squall	18
silence	18
rate	18
pieces	18
period	18
noon	18
merchant	18
lad	18
instance	18
horizon	18
height	18
gunwale	18
globe	18
flag	18
evening	18
doubloon	18
dart	18
children	18
child	18
chains	18
beef	18
weight	17
trunk	17
tackles	17
spite	17
spine	17
son	17
shape	17
row	17
rear	17
race	17
prow	17
oarsmen	17
neck	17
motion	17
months	17
lips	17
kings	17
interest	17
glory	17
friends	17
example	17
elephant	17
difference	17
crews	17
compass	17
cause	17
breath	17
box	17
bird	17
animal	17
aft	17
advance	17
window	16
virtue	16
tomahawk	16
thousands	16
stroke	16
rush	16
rocks	16
ribs	16
respect	16
piece	16
mother	16
madness	16
irons	16
heat	16
grave	16
gentleman	16
flames	16
flame	16
father	16
crown	16
corner	16
color	16
bread	16
books	16
billows	16
bench	16
barrels	16
wrinkles	15
wound	15
windward	15
whaler	15
vapor	15
turn	15
touch	15
steak	15
start	15
starboard	15
spray	15
space	15
shock	15
shadow	15
season	15
right	15
pumps	15
pulpit	15
prophet	15
pots	15
position	15
plank	15
palms	15
pains	15
officer	15
oarsman	15
nigh	15
marble	15
lungs	15
latitudes	15
lads	15
joy	15
hunter	15
grass	15
fins	15
feeling	15
ends	15
direction	15
dinner	15
devils	15
delight	15
commander	15
bucket	15
binnacle	15
being	15
affair	15
whence	14
voyages	14
tub	14
trees	14
summer	14
streets	14
step	14
signs	14
shadows	14
sense	14
seat	14
present	14
points	14
plenty	14
pitch	14
pictures	14
opinion	14
oceans	14
monkey	14
marks	14
luck	14
isles	14
hook	14
hint	14
food	14
foe	14
fingers	14
events	14
dog	14
cutting	14
coward	14
corpse	14
city	14
character	14
canvas	14
boots	14
blacksmith	14
ages	14
wreck	13
wonders	13
volume	13
tubs	13
tiller	13
steward	13
stars	13
seaman	13
sailing	13
ropes	13
rod	13
rib	13
reference	13
quantity	13
prey	13
phantom	13
names	13
minute	13
mariner	13
latitude	13
ladies	13
idol	13
hunt	13
hither	13
herd	13
hast	13
flood	13
field	13
faces	13
erect	13
effect	13
e	13
conceit	13
circles	13
awe	13
yonder	12
winter	12
wine	12
vengeance	12
usage	12
trowsers	12
tide	12
thine	12
terms	12
stump	12
street	12
spirit	12
speed	12
spars	12
size	12
sights	12
shoulders	12
sand	12
salt	12
rods	12
rock	12
ring	12
peril	12
pair	12
outs	12
o''clock	12
nations	12
mountain	12
motions	12
money	12
moments	12
minds	12
milk	12
meat	12
meaning	12
mankind	12
malice	12
letter	12
lesson	12
leak	12
ladder	12
horror	12
horn	12
hope	12
hill	12
grounds	12
ginger	12
ghost	12
fool	12
flank	12
finger	12
fathoms	12
family	12
faith	12
ear	12
deal	12
countenance	12
contrast	12
conscience	12
clouds	12
centuries	12
canal	12
bull	12
breakfast	12
blow	12
blanket	12
beach	12
barbs	12
ball	12
women	11
wharf	11
walls	11
waist	11
vocation	11
tongue	11
tambourine	11
tackle	11
symbol	11
straits	11
spouts	11
smoking	11
shipmate	11
service	11
school	11
scenes	11
roll	11
reasons	11
prairie	11
possession	11
poles	11
pocket	11
plan	11
peculiarities	11
path	11
opening	11
objects	11
noise	11
nights	11
news	11
nest	11
needles	11
nay	11
naturalists	11
memory	11
measure	11
matters	11
mat	11
lives	11
lay	11
lantern	11
knowledge	11
jets	11
islands	11
image	11
ignorance	11
hue	11
horses	11
hoops	11
heavens	11
gloom	11
fight	11
fate	11
fashion	11
event	11
element	11
dread	11
dam	11
cross	11
cries	11
contact	11
commotion	11
clothes	11
chap	11
cask	11
care	11
buoy	11
brother	11
bowels	11
block	11
blackness	11
birth	11
beheld	11
bar	11
backs	11
articles	11
appearance	11
answer	11
yesterday	10
well	10
watches	10
vice	10
velocity	10
tow	10
token	10
term	10
task	10
system	10
swimming	10
swells	10
sunrise	10
summit	10
stream	10
strain	10
stock	10
stairs	10
spirits	10
spell	10
spades	10
slave	10
skill	10
skies	10
shroud	10
shoulder	10
set	10
savages	10
quest	10
pot	10
perch	10
papers	10
narrative	10
mortals	10
morrow	10
mood	10
mist	10
might	10
midst	10
limbs	10
letters	10
laugh	10
impressions	10
humor	10
host	10
herds	10
hatches	10
glimpse	10
glasses	10
fowl	10
force	10
fleet	10
features	10
experience	10
elephants	10
discovery	10
depths	10
depth	10
curiosity	10
contrary	10
compasses	10
cod	10
church	10
charge	10
century	10
capstan	10
canoe	10
cannibals	10
butter	10
breadth	10
blast	10
birds	10
berth	10
beginning	10
ashes	10
anybody	10
afternoon	10
youth	9
woods	9
woman	9
wing	9
weeks	9
weapon	9
warp	9
tribe	9
traveller	9
tower	9
tempest	9
taste	9
surprise	9
strip	9
stove	9
stage	9
spear	9
sleeper	9
shirt	9
sheets	9
score	9
rumors	9
rows	9
rail	9
rage	9
rack	9
principle	9
powder	9
pity	9
pike	9
peace	9
party	9
particulars	9
occasion	9
needle	9
need	9
nantucket	9
mystery	9
movement	9
mouths	9
mountains	9
monsters	9
mercy	9
member	9
loss	9
lip	9
lid	9
leaves	9
leagues	9
lead	9
lake	9
knives	9
knee	9
key	9
judgment	9
job	9
jack	9
influence	9
homage	9
holes	9
hints	9
hills	9
heaving	9
good	9
fury	9
fowls	9
forms	9
fore	9
flight	9
extremity	9
expression	9
ease	9
dust	9
drop	9
doom	9
dish	9
directions	9
crotch	9
courage	9
cord	9
consternation	9
connexion	9
concern	9
comrades	9
coin	9
coils	9
capture	9
cannibal	9
candles	9
bodies	9
blinds	9
bits	9
biscuit	9
belly	9
beings	9
attention	9
apparition	9
angels	9
activity	9
action	9
accounts	9
ye	8
widow	8
weapons	8
wave	8
